,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1858,3794.231385,2051.125846,1743.105539,3794.231385,2051.125846,1743.105539,3794.231385,2051.125846,1743.105539,46.54057729,46.54057729,46.54057729
1859,3853.269912,2079.153212,1774.116699,3853.269912,2079.153212,1774.116699,3853.269912,2079.153212,1774.116699,46.94962615,46.94962615,46.94962615
1860,3912.496186,2095.717761,1816.778425,3912.496186,2095.717761,1816.778425,3912.496186,2095.717761,1816.778425,47.37614023,47.37614023,47.37614023
1861,3995.54472,2136.721579,1858.823141,3995.54472,2136.721579,1858.823141,3995.54472,2136.721579,1858.823141,48.2346867,48.2346867,48.2346867
1862,3806.51064,1916.34624,1890.1644,3806.51064,1916.34624,1890.1644,3806.51064,1916.34624,1890.1644,49.13056212,49.13056212,49.13056212
1863,3844.996532,1916.997535,1927.998997,3844.996532,1916.997535,1927.998997,3844.996532,1916.997535,1927.998997,49.71022253,49.71022253,49.71022253
1864,3900.401641,1918.269413,1982.132228,3900.401641,1918.269413,1982.132228,3900.401641,1918.269413,1982.132228,50.66032473,50.66032473,50.66032473
1865,3963.846629,1921.087377,2042.759252,3963.846629,1921.087377,2042.759252,3963.846629,1921.087377,2042.759252,51.9800751,51.9800751,51.9800751
1866,4000.663981,1921.585666,2079.078315,4000.663981,1921.585666,2079.078315,4000.663981,1921.585666,2079.078315,52.74699293,52.74699293,52.74699293
1867,4058.238856,1916.052688,2142.186168,4058.238856,1916.052688,2142.186168,4058.238856,1916.052688,2142.186168,53.94102178,53.94102178,53.94102178
1868,4102.93296,1910.698725,2192.234235,4102.93296,1910.698725,2192.234235,4102.93296,1910.698725,2192.234235,55.28767356,55.28767356,55.28767356
1869,4141.355274,1904.67254,2236.682734,4141.355274,1904.67254,2236.682734,4141.355274,1904.67254,2236.682734,55.83359728,55.83359728,55.83359728
1870,4183.343519,1900.645177,2282.698343,4183.343519,1900.645177,2282.698343,4183.343519,1900.645177,2282.698343,56.99659231,56.99659231,56.99659231
1871,4307.985211,1974.459419,2333.525791,4307.985211,1974.459419,2333.525791,4307.985211,1974.459419,2333.525791,57.57401422,57.57401422,57.57401422
1872,4700.534542,2287.485899,2413.048643,4700.534542,2287.485899,2413.048643,4700.534542,2287.485899,2413.048643,58.18710545,58.18710545,58.18710545
1873,4826.282447,2327.648136,2498.634311,4826.282447,2327.648136,2498.634311,4826.282447,2327.648136,2498.634311,59.62016165,59.62016165,59.62016165
1874,4866.935514,2354.256216,2512.679298,4866.935514,2354.256216,2512.679298,4866.935514,2354.256216,2512.679298,60.88850035,60.88850035,60.88850035
1875,4969.262013,2383.068243,2586.19377,4969.262013,2383.068243,2586.19377,4969.262013,2383.068243,2586.19377,61.4471703,61.4471703,61.4471703
